date,frontend_code,frontend_comment,frontend_blank,backend_code,backend_comment,backend_blank,total_code
2025-09-20,276,49,59,20,1,1,296
2025-09-21,1303,174,185,1121,25,145,2424
2025-09-22,2183,208,332,1121,25,145,3304
2025-09-23,2351,224,353,1159,28,152,3510
2025-09-25,2427,246,379,1175,35,152,3602
2025-09-26,3961,581,662,1175,35,152,5136
2025-09-27,2845,281,465,1175,35,152,4020
2025-09-28,3057,293,500,11799,2966,2394,14856
2025-09-29,4382,572,741,13039,2191,2550,17421
2025-09-30,4835,632,821,10083,2320,2034,14918
2025-10-01,4201,885,753,9248,2045,2149,13449
2025-10-02,4824,1224,934,9819,2173,2236,14643
2025-10-03,5576,1474,1121,9909,2526,2381,15485
2025-10-04,7653,2039,1650,10095,2627,2433,17748
2025-10-05,8760,2329,1872,10346,4825,3112,19106
2025-10-06,8780,2333,1876,10379,4830,3118,19159
2025-10-07,10420,2561,2173,10859,5087,3275,21279
2025-10-08,11321,2732,2341,11592,5642,3547,22913
2025-10-09,12333,2921,2421,11751,5745,3565,24084
2025-10-10,15740,3135,2978,15492,7078,4356,31232
2025-10-11,16972,3456,3207,16728,7265,4681,33700
2025-10-12,17355,3505,3279,16478,7453,4370,33833
2025-10-13,8230,2536,1672,16478,7453,4370,24708
2025-10-14,18797,4099,3585,16770,7566,4425,35567
2025-10-15,35392,5331,7660,16785,7581,4440,52177
2025-10-16,31296,5509,6405,16871,7638,4462,48167
2025-10-17,31662,5689,6471,17024,7715,4500,48686
2025-10-18,34148,6113,6963,17048,7649,4465,51196
2025-10-19,34773,6294,7085,17048,7649,4465,51821
2025-10-21,36057,6420,7290,17048,7649,4465,53105
2025-10-24,30737,5611,6196,17048,7649,4465,47785
2025-10-26,32026,5737,6401,17048,7649,4465,49074
2025-10-28,32905,5854,6542,17176,7667,4482,50081
2025-10-29,32957,5864,6551,17176,7667,4482,50133
2025-11-08,33236,5584,6503,17176,7667,4482,50412
2025-11-09,35066,5727,6795,17180,7668,4483,52246
2025-11-10,35909,5845,6948,17180,7668,4483,53089
2025-11-11,36070,5917,6982,17471,7800,4542,53541
2025-11-12,34840,6198,6463,18605,8364,4824,53445
2025-11-13,35758,6311,6636,18751,8398,4850,54509
2025-11-14,36233,6345,6674,18757,8399,4850,54990
2025-11-15,36738,6496,6761,18757,8399,4850,55495
2025-11-16,37446,6599,6826,18756,8406,4850,56202
2025-11-17,38719,6697,7003,18756,8407,4850,57475
2025-11-18,39867,6859,7204,20253,9256,5364,60120
2025-11-20,41284,7017,7444,20253,9256,5364,61537
2025-11-21,40591,7046,7383,20312,9267,5376,60903
2025-11-22,41095,7108,7492,21104,9206,5455,62199
2025-11-23,41436,7133,7555,21104,9206,5455,62540
2025-11-24,41537,7175,7576,21104,9206,5455,62641
2025-11-25,41709,7200,7603,21104,9206,5455,62813
2025-11-26,42273,7310,7682,20754,9196,5402,63027
2025-11-27,43012,7337,7810,20911,9292,5458,63923
2025-11-30,43124,7347,7831,20911,9292,5458,64035
2025-12-02,46079,7579,8159,23653,9912,5989,69732
2025-12-05,47370,7681,8363,23653,9912,5989,71023
2025-12-06,47310,7637,8343,23653,9912,5989,70963
2025-12-07,47697,7655,8407,23653,9912,5989,71350
2025-12-08,47874,7791,8433,23715,9927,6004,71589
2025-12-09,48886,7876,8593,23803,9942,6016,72689
2025-12-10,49150,7927,8628,23951,10000,6047,73101
2025-12-11,49383,7973,8679,23951,10000,6047,73334
2025-12-12,50886,8130,8890,23951,10000,6047,74837
2025-12-13,52493,8248,9135,24894,10226,6256,77387
2025-12-14,53103,8311,9241,24843,10215,6250,77946
